GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebAndCloud,foo,Consistency.new Runnable() {...},60,0,2,0,14,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},65,0,2,0,12,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},75,0,2,0,16,0,3,0,2,0
WebAndCloud,foo,FriendQuery,381,0,8,0,58,0,6,0,2,0
WebAndCloud,foo,PostPetition,3,0,0,0,2,0,1,0,1,0
WebAndCloud,foo,PrefixClean,59,0,2,0,12,0,3,0,2,0
WebAndCloud,foo,Counting.new Runnable() {...},73,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,FriendBlockServlet,151,0,6,0,21,0,5,0,2,0
WebAndCloud,foo,OneTupleTR,165,0,4,0,30,0,5,0,3,0
WebAndCloud,foo,PetitionQuery,149,0,4,0,26,0,4,0,2,0
WebAndCloud,foo,RandomResult,9,0,0,0,3,0,1,0,1,0
WebAndCloud,foo,PrefixQuery,310,0,8,0,49,0,6,0,2,0
WebAndCloud,foo,Consistency,144,0,6,0,39,0,6,0,3,0
WebAndCloud,foo,UsersServlet,52,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,PetitionServlet,230,0,10,0,36,0,7,0,2,0
WebAndCloud,foo,Counting,117,0,4,0,25,0,4,0,2,0
WebAndCloud,foo,PrefixServlet,196,0,8,0,32,0,8,0,4,0
WebAndCloud,foo,FriendServlet,115,0,4,0,17,0,4,0,2,0
WebAndCloud,foo,HelloAppEngine,0,115,0,2,0,15,0,4,0,3
WebAndCloud,foo,CountingTR.new Runnable() {...},103,0,4,0,22,0,4,0,2,0
WebAndCloud,foo,CountingTR,120,0,4,0,26,0,5,0,3,0
WebAndCloud,foo,PostMessage,3,0,0,0,1,0,1,0,1,0
WebAndCloud,foo,CountingSh.new Runnable() {...},103,0,4,0,19,0,4,0,2,0
WebAndCloud,foo,MsgIndex,230,0,4,0,37,0,4,0,2,0
WebAndCloud,foo,CountingSh,144,0,8,0,28,0,6,0,2,0
WebAndCloud,foo,ScoreEndpoint,612,0,22,0,129,0,27,0,16,0
WebAndCloud,foo,OneTupleTR.new Runnable() {...},131,0,2,0,26,0,3,0,2,0
WebAndCloud,foo,TestTransaction,76,0,4,0,15,0,4,0,2,0
WebAndCloud,backend,FriendServlet,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,OneTupleTR,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,CountingTR,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,CountingSh,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,UsersServlet,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,FriendQuery,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,PostMessage,5,0,0,0,1,0,1,0,1,0
WebAndCloud,backend,Consistency,15,0,0,0,3,0,3,0,3,0
WebAndCloud,backend,PrefixQuery,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,TestTransaction,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,HelloAppEngine,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,MsgIndex,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,FriendBlockServlet,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,RandomResult,5,0,0,0,1,0,1,0,1,0
WebAndCloud,backend,Counting,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,ScoreEndpoint,60,0,0,0,12,0,12,0,12,0
WebAndCloud,backend,PrefixClean,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,PetitionQuery,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,PetitionServlet,10,0,0,0,2,0,2,0,2,0
WebAndCloud,backend,PostPetition,5,0,0,0,1,0,1,0,1,0
WebAndCloud,backend,PrefixServlet,15,0,0,0,3,0,3,0,3,0
